small_area,total_value_mGBP
E01000001,2.769610793
E01000002,2.075656868
E01000003,3.81735043
E01000005,0.486608958
E01000006,1.647567212
E01000007,1.27211139
E01000008,0.826952441
E01000009,1.066242655
E01000011,1.383095107
E01000012,0.436620949
E01000013,1.590074383
E01000014,1.70350324
E01000015,2.036228012
E01000016,1.831336363
E01000017,1.606366588
E01000018,1.621519096
E01000019,1.652093566
E01000020,2.007268612
E01000021,1.27796128
E01000022,1.47385273
E01000024,1.383681014
E01000025,1.777176216
E01000027,1.610676798
E01000028,1.350858268
E01000029,2.500171674
E01000030,2.006211903
E01000031,2.340672491
E01000032,2.501529548
E01000033,1.191490886
E01000034,2.502483149
E01000035,1.954718741
E01000036,1.592755647
E01000037,2.517405529
E01000038,2.848403994
E01000039,2.136621626
E01000040,1.214867714
E01000041,1.708788199
E01000042,1.150195221
E01000043,1.621916908
E01000044,1.69294053
E01000045,1.415399572
E01000046,1.733597743
E01000049,1.015903542
E01000050,1.627557647
E01000051,0.518313503
E01000052,2.04360552
E01000053,1.159271495
E01000054,1.791141788
E01000055,1.75275345
E01000056,1.41381362
E01000057,1.190277962
E01000058,2.010817633
E01000059,1.864485046
E01000060,1.319106114
E01000061,0.543089401
E01000062,2.186129077
E01000063,1.742240554
E01000064,2.297286504
E01000065,1.170161563
E01000066,3.45553534
E01000067,3.231714608
E01000068,2.621629944
E01000069,3.93319881
E01000070,3.480262961
E01000071,2.994826018
E01000072,1.570340655
E01000073,1.951832653
E01000074,1.344651939
E01000075,2.539163608
E01000076,1.545309856
E01000077,1.292303567
E01000078,1.916140121
E01000079,1.535342671
E01000080,1.65322225
E01000081,1.947939074
E01000082,1.859629874
E01000083,1.730062078
E01000084,1.305646297
E01000085,1.117484509
E01000086,1.449265921
E01000087,1.593890067
E01000088,2.001916106
E01000089,1.789810054
E01000090,1.717782524
E01000091,1.464432211
E01000093,1.11906471
E01000094,2.076264636
E01000095,2.19248228
E01000096,1.246474889
E01000097,1.380766497
E01000098,1.968297531
E01000099,2.865801215
E01000100,1.956613572
E01000101,1.719941149
E01000102,1.720472665
E01000103,2.122075684
E01000104,1.298718722
E01000105,1.436234938
E01000106,1.835270272
E01000107,1.998719575
E01000108,1.918255541
E01000110,2.191684625
E01000111,2.329850251
E01000112,2.014453585
E01000113,2.327129109
E01000114,2.601214263
E01000115,7.2029027
E01000116,4.454218827
E01000117,5.547678345
E01000118,5.187495047
E01000119,8.638197056
E01000120,10.35097873
E01000121,1.051501067
E01000122,6.566533908
E01000123,2.979128271
E01000124,2.542164441
E01000126,1.516806545
E01000127,1.153558696
E01000128,2.374233388
E01000129,1.289805207
E01000130,2.059150717
E01000131,2.116063992
E01000132,1.333341078
E01000133,2.043786088
E01000134,1.680345905
E01000135,8.62045694
E01000136,23.8213524
E01000137,0.678178369
E01000138,2.140844107
E01000139,3.872326685
E01000140,-0.024667654
E01000141,-0.017174449
E01000142,1.319258351
E01000143,0.630260203
E01000144,0.37513531
E01000145,3.516775198
E01000146,0.434455437
E01000147,5.97063824
E01000150,3.431224406
E01000151,0.387281321
E01000152,3.09255767
E01000153,1.721261157
E01000154,1.663119803
E01000156,3.32968605
E01000157,1.93003714
E01000158,2.199834413
E01000159,5.530208763
E01000160,2.193219871
E01000161,2.328205917
E01000162,5.661430628
E01000163,0.866453695
E01000164,1.726522458
E01000165,2.056570053
E01000166,4.143862724
E01000167,3.176103745
E01000168,12.2122539
E01000169,2.914108804
E01000170,4.116019644
E01000171,1.829073091
E01000172,5.261000558
E01000173,3.661686768
E01000174,2.194249432
E01000175,4.855421678
E01000176,2.179988409
E01000177,3.828562102
E01000178,2.370405871
E01000179,3.801820718
E01000180,3.916089781
E01000181,6.65349949
E01000182,6.372489399
E01000183,4.410008124
E01000184,1.337555322
E01000185,1.052106481
E01000186,14.9106433
E01000187,5.536496284
E01000188,16.56062207
E01000189,3.399358174
E01000190,8.964875313
E01000191,11.28140611
E01000192,3.415817835
E01000193,2.385394808
E01000194,2.861283627
E01000195,2.356990752
E01000196,0.268706855
E01000197,4.668611923
E01000198,3.775662285
E01000199,3.237433344
E01000200,4.1192138
E01000201,10.37296725
E01000202,3.065911445
E01000203,1.801921002
E01000204,4.797151985
E01000205,10.55294632
E01000206,24.19097222
E01000207,14.34531697
E01000208,11.61244326
E01000209,10.1888023
